つぶやきシロー	shiro_tsubuyaki	ホリプロ所属のつぶやきシローです。
オッス！トン子ちゃん	ossu_toncochan	タナカカツキ著「オッス！トン子ちゃん」非公式botダス（著者認可）。 リプライくれたらなんか言い返すダスよ！
eneloopy	eneloopy	暮らしを変える電池「eneloop」のマスコットキャラクター“eneloopy”の公式アカウントだよ！　★WEBサイト：http://t.co/XZRFc1lzCz　★Facebook：http://t.co/5LkMwB5fmH
真希波・マリ・イラストリアス	makinamimari	人の身を捨ててこそ…浮かぶ瀬もある！なーんてにゃ♪
式波アスカ	sikinamiasuka	あんたバカぁ！？　フォローなんて、勝手にしなさいよ！
碇シンジ	ikarisinji	第3新東京市立第壱中学校に通っています。あと、6月6日生まれのふたご座で、ええっと…得意なものはないけれど、料理が好きかな…
渚カヲル	kaworu_sd	貞本版渚カヲルbot/漫画の台詞を中心につぶやきます。わりと人懐っこいです。※飽きたらリムーブではなくブロックでお願いします  　　※休止中
伊藤開司	kaiji_itou	賭博黙示録カイジに登場する伊藤開司の非公式botです。    どんな状況であろうと信頼した人間を裏切ることは決してせず、己の利を蹴ってでも救おうとする人物
矢島金太郎	kintarou_yajima	「サラリーマン金太郎」に登場する矢島金太郎botです。最終学歴は高校中退。八州連合の頭を引退した後に漁師をしていたが、漂流中の大和守之助を救ったことが縁で、ヤマト建設の営業部社員として採用される。
イマクニ？	imakuni	ふしぎないきもの「イマクニ？」の公式アカウント。『ポケモン言えるかな？』で一世を風靡したが、現在はおもにポケモンカードのイベント会場に生息している。おいしいものを与えるとねちっこくつきまとうので、エサを与えるよりも、面白いネタを与えましょう。
ジョゼット	josette_bot	私は、ギジン５９８４型。ティンカーというギジンの人工頭脳をもとにジェペット博士によってつくられた、学習型機械人間なの。でも、私、まだ未完成だから、自分のことが、よくわからないの・・・。言ってることも、やってることも。詳しくはwebを読んでくださいと、バードが言ってました。※RTにはお返事できないのです。
ついったん	twittan	Twitter（非公認）擬人化キャラ ついったん。DMが届くとその内容をしゃべります。（DM送信者は別の場所で開示されます） Followする場合は上記URLと過去の発言状況をよく確認した上でお願いします。あと、公共性高いアカウントなので、チェーンメッセージまがいの拡散、身内ネタ、非公式RTなどは全て禁止！
バスター君	Buster_kun_JPN	どうもこちらでもバスター君です。ハイ。。
フリ丸	fc_fulimaru	横浜ＦＣオフィシャルマスコット「フリ丸」特徴：すべてが神秘的。だれとでも仲良くなれる。人間の言葉がわかる。いたずら好き、好奇心旺盛、早寝早起き、野望がある。身長、体重伸縮自在横浜FCの影の応援団リーダー。サッカーが好き（ただし上手ではない）
ムーミン谷の名言bot	moomin_valley	ムーミンシリーズの名言をつぶやくbotです。たまにムーミン情報も流れます。非公式です。何かご用がありましたら門番（ @lovinkiller ）までお願いします。
十世	toyo_bot	自動つぶやきbotです。「フォローして」「フォロー解除」のリプライに反応してフォロー、リムーブをします（多分）。～10分待ってみてください。このbotは「看板娘はさしおさえ」の原作、原作者様とは関係ありません。（bot製作：@miiyon）
窓辺ななみ	windows7_nanami	おひさりぶりですっ、ななみです！今年こそ、お姉ちゃんのエイプリルフールハッキングを防衛！（＞皿＜；ｑ・・・じゃない、みなさんの自作PCメイキングを応援！∠（`・ω・´／
小惑星探査機はやぶさ（非公式）	MUSES_C	ファイト一発！◆イオンエンジンの調子がまた一個悪くなっちゃいました。　◆小惑星探査機はやぶさの地球帰還の距離と現在の地球までの距離と宇宙関係の今日はなんの日を日付が変わったときにポストします。6月15日0時0分が一応の到着予定日。それと現在地。たまにはやぶさ関係のニュース。◆※JAXAとの関係は皆無です。※
サンタクロース	santaclaus	Will the real Santa please stand up?
C3PO	C3PO	Hello, I am C-3PO, human cyborg relations. How might I serve you?
シンプソンズ／ホーマー	Homer	23  #MiamiOH Alum  CUA Law
ゴールデンエッグス	GOLDEN_EGGS	脱力系アニメ　The World of GOLDEN EGGSのなかまたちがつぶやきます
真鍋和	manabe_nodoka	真鍋和です
山中さわ子	yamanaka_sawako	山中さわ子
平沢憂	hirasawa_ui	平沢憂です。
琴吹紬	kotobuki_tumugi	琴吹紬です！
田井中律	tainaka_ritu	りっちゃん隊員です！フォローしてくれよ！
中野梓	nakano_azusa	中野梓です・・・。よろしくお願いします。
秋山澪	akiyama_mio	秋山澪です。
平沢唯	hirasawa_yui2	平沢 唯 です！元気でーす。
駅長たま	ekichoTAMA	1999年4月29日生まれのレディーですにゃ。 みんな貴志駅に会いにきてにゃ。今年貴志川線１４駅の総駅長職を拝命、社長代理ウルトラ駅長になったにゃ！
TINTIN　JAPAN（公式）	TINTIN_JAPAN	世界中の“7歳から77歳の若者”に夢と冒険心を与え続ける「タンタンの冒険」。日本公式アカウントです。タンタン情報や名台詞、仏語や日本語でつぶやかれます。時々中の人個人のタンタンに関するつぶやきもあります。
くまタロー	K1_Kuma	ぼくは、格闘技「K-1」「DREAM」「Dynamite!!」を主催するFEGの宣伝熊、「くまタロー」クマ。格闘技の事、みんなに好きになってほしいクマ。どうぞよろしクマ！
イモージェン・ヒープ	imogenheap	#SPARKS is out most places and everywhere by 6th October... meanwhile...I'm preparing for biggest craziest journey of all, Motherhood! here i come!
Aira Mitsuki	official_aira	Airaです。皆さん、どんどん遊びにきて下さいね! ちなみに、Airaは2013年8月21日に 活動休止前ラストアルバム「I'LL BE BACK」をリリースします。
ダニー・ゴーキー	dannygokey	Artist, Entertainer, & Founder of @SophiasHeart. Housing the Homeless, Feeding the Hungry, & specializing in Youth Performing Arts Programs. Its a MOVEMENT
福岡智彦	tomorobin	日本の音楽文化を盛り上げたい50代男
スティーヴン・アドラー	adlerrocks	Debut album Back From The Dead available now http://t.co/CKh3YdvHrp & https://t.co/7PoauEMTzA
葉玉匡美	mhadama	企業法務中心の弁護士です。詳しくは、Wikipediaに載っています。http://t.co/08Q4PBV6
コトリッチ	cotorich_ter	おはよ　こんにちわ　こんばんわいつ見てるか分からないからあいさつ全部。コトリッチです。
並木優	yuuutamu	セクシー女優の並木優(・ω・) 音楽好きのDTMerです！DJユニットLuv♡itの活動、楽曲提供などしてます。チャラアニ準レギュラー【并木优】http://t.co/9ODrREpBF0 新浪微博→ 并木优_real
藤崎クロエ	fuzisakichloe	♡사랑한다♡
新堂有望	yumi7shindou	ﾏﾗｿﾝしています！ｻｯｶｰ4級審判取得しています♪普通免許証はｺﾞｰﾙﾄﾞ！愛車はﾒﾙｾﾃﾞｽﾍﾞﾝﾂG500ﾛﾝｸﾞ♪
垣花正	kaki_hana	ニッポン放送 「垣花正 あなたとハッピー」は 毎朝8時〜11時半まで 生放送
ザ・たっち かずや	kazthetouch	ザ・たっちのかずやです。弟です。お母さん似の方です。最近はドラクエ10、ウイイレ2014、サカつくシュートにハマってます。
ザ・たっち たくや	takthetouch	どーも！顔の似てる奴と一緒に仕事してます。兄の方だと思われます
るろ剣名言集	Rurokenn	るろうに剣心の名言をらんだむにつぶやくでござるよ。
映画の名言bot	movie_bot	映画の名言をつぶやくbotです。ありがたい名言、笑える名言、泣ける名言、迷言（？）などをランダムにつぶやきます。ちょいジブリ多め。話のネタにつかってくださいｗ つぶやきの精度ただいま調節中。。。
石森則和	ishinori	海と鎌倉と音楽と車を愛するラジオ記者＆ときどきパーソナリティ。
奥窪峰子	mine_ko	フリーアナウンサーです。元NHK神戸キャスター。オフィスキイワード所属。お茶を飲み、アロマとヨガに浸っていると機嫌良く♪海・山・離島と、フルーツ、そして、おぜんざいをこよなく愛しています♡
鈴木純子	zunko83	文化放送アナウンサーで気象予報士の鈴木純子です。お陰様で娘は2月24日で2歳になります。効率的な家事を目指していますが、要領の悪さは変わらずいつもアワアワ。少し先を見通すことが目下の目標。2014年の目標は感謝と思いやりの気持ちを忘れない！！Ｊ２の松本山雅ＦＣを応援しています♪
関根友実	sekkymama	元朝日放送アナウンサー/臨床心理士
内田絢子	uccijun	FM802 FLiPLiPS DJEVERY MON&TUE11:00-15:00　ON AIR
空木マイカ	utsugimaika	ラジオDJ
大抜卓人	takutoonuki	DJ 大抜卓人(Takuto Onuki) FM802「TACTY IN THE MORNING」「NOZ BEAUTIFUL HARMONY」/ 読売テレビ「CUNE!」/ InterFM 「Headbangers!!」TOKYO FM 「TOKYO LOUD」、DJ/MC/ナレーション
落合健太郎	dj_OchiKen	FM802 ROCK KIDS802-OCHIKEN Goes ON!! Mon-Thu 21:00〜24:00.     ZIP-FM Saturday Go Around 15:00-19:00 カンサイーっ！トウカイーっ！リクエスト待ってるよ〜！
加藤美樹	mikikato	FM802DJ
小嶋晶子	kojimamajiko	ラジオDJ•イベントMC•ナレーター 音楽/LIVE/映画/本/ART/Mac/ゲーム/アニメ/猫etc...現在、アメリカミシガン州にて絶賛ホームシック中！http://t.co/pXR24Sgjgt
小林拓一郎	kobataku33	名古屋のラジオ局ZIP-FMでしゃべってます!アイシン・シーホースのホームコートMCもやらせてもらってます！後、ジュニア野菜ソムリエっす。後、”とよかわ観光大使”にも任命されました！
松井陽子	yokomatsui	放送局就職後、フリーになりました。アナウンサー・コミュニケーショントレーナー・経済についての講演活動などを経て、、、ただいま充電中です。東京から14年ぶりに地元の福岡に戻りました。あやふやな日常をちょこちょこつぶやきますね。よろしくお願いします♬
ちわきまゆみ	chiwakimayumi	DJ / Musician
成田真美	naritamasami	ZIP-FM ミュージックナビゲーター『Z-POP COUNTDOWN 30』『RADIO ORBIT』、ブロガー『オピリーナ』、コラムニスト『毎日キレイ』、イベントMC、女子力アップイベント『ROCKFERRY』http://t.co/j6JAPFaOjl
西靖	y_west	大阪でアナウンサーなんてやってます。趣味の釣りとかスノボとか、たまに仕事の話をつぶやくつもりです。
弓月ひろみ	yuzukihiromi	デジタルアイドルからITタレントになりました(笑)AppleClipアシスタント、iPhoneマガジンライター、LINE本、書籍寄稿など。iPhoneケース300個+α 所持。ケースコーディネイター。ロバート・ハリスさんとラジオやったり、和菓子に強いフードアナリストだったりもします。
Sascha	sascha348	「独逸の巨人」GER/JPN Radio DJ. Official Blog : http://t.co/GHO7Knf2md J-WAVE Beat Planet/金曜ロードSHOW!/世界番付/Sound Horizon/紅白歌合戦出場/スカパラ第九参加/風立ちぬ
秀島史香	tsubuyakifumika	J-WAVE＆FM802＆ZIP-FM「READING FOR YOUR HEART」、NHK Eテレ「団塊スタイル」、NHK BS「マキハラといっしょ」、BS12「高田純次のアジアぷらぷら」、音声ガイド「オルセー美術館展」〜10/20@国立新美術館、JAL機内放送、渋谷ヒカリエ、「こびとづかん」絵本DVD
松瀬一昭	himari_ma	ひまりのマッセです。一万人ライブに向けて全国で活動中！2011年7月13日に2ndシングル「ヒカリ／尾道の夏」リリース♪
門松良祐	himari_k	「ひまり」の門松です。「ひまり」の輪を広げるため、頑張ってます！目指せ武道館、大阪城ホール！2014年10月8日にNewシングルリリース(^_^)v
ロックス	thisisROX	BUY Kryptonite on iTunes : http://t.co/kZRdiSaY77
キムビアンカ	KimBIANCA_	♀歌手。処女シングルは「脱ぎなさいよ」/「ArcH QUEEN」ユニバーサル配信。最新配信曲「生きなさいよ」/小説【恋する処女膜】/nuDex/SAME LOVE/COLORS TOKYO/2CHOPO
山口リサ	yamaguchi_lisa	山口リサです♪好きなものはハンバーグとワンコ全般とお料理です♡日々愛について考え曲にしたりしてます...I'm a singer song writer! Instagram→yamaguchi_lisa Follow me ♪
今井了介	ryosukeimai	Music Producer/Song WriterTinyVoice,Production C.E.OBlog　http://t.co/cI9PqNU5nxWeibo　http://t.co/meclzKdE0e
DJ Komori	djkomori	Collage -FOUR- OUT NOW✨ULTRA JAPAN 2014 Day2
有坂美香	MikaArisaka	A vocalist, teacher & learner☆有坂美香&The Sunshowers主催1st mini album out☆MiKa Beyond Jazz(vocal)☆2013年参加ツアー:鈴木雅之、加藤ミリヤ、BENI、大塚愛、Jazztronik☆メーザーハウス音楽学校講師
相沢あい	aizawaai	ざっくり言うと物書きです。AllAbout恋愛ガイドで元早大生レースクイーン。コミュニケーションアドバイザー。アイドル好きＤＪ。ガジェット好き。インタビューしたり、広告やウェブ、診断コンテンツをロジックから作ったりもしてます。ミスインターナショナルのファイナリストでしたが、食が好き過ぎておおらかに横に大きくなりました。
DJ Kyoko	djkyoko	Japanese DJ / The Pat
nao (1985年生の歌手)	nao0126	なおすんことnaoです。うたうたいだけどわりと色々します。猫11匹うさぎ1羽のママ。お酒が明日の元気の源。 お歌、楽曲制作、サウンド関係まるっと請負。お仕事のご相談はオフィシャルHPメールフォームからどうぞ〜
西田二郎	jironishida	ダウンタウンDX,ガリゲルなど演出。水曜どうでしょう藤やんとテレビ玉で「たまたま」無添加ですよ！EX視聴率実験、ビジュアルバム。関連）ダウンタウン、キングコング、ノンスタイル、ライセンス、backnumber,C&K,カラーボトル,NOT TVガリガリゲル
中澤京子	nakazawakyoko	コロムビアより「哀愁でいと」でＣＤデビュー。通販番組・実演販売のジャンプ中澤です！！ショップチャンネル・イベント実演・MC.ナレーション・ラジオＤＪ！オクトーバーフェストＭＣお姉さん♪絵かき・脱出ゲーム・カレー大好き＼(^o^)／ http://t.co/ChBW8znYsA
松山せいじ	seijimatsuyama	『ゆりてつ』現在は人気ラノベ『人生』のコミカライズ連載中の松山せいじです。お仕事はTwitterのメッセージからどうぞ！鉄ヲタ、デジヲタ、パソヲタ、ゲームヲタとヲタ趣味の幅は色々。返信もたまにします。フォローする際には、僕は時間帯によってベラベラつぶやきTLが埋まるのでその場合はミュートしてくださいませ（笑
宮田聡子	miyatasatoko	ヴィズミックモデルエージェンシー所属
はまだえりこ	eriko_hamada	タレント、レポーター、ナレーター。そしてヨガインストラクターとしても活動中。日々思いついたことをつぶやいています。ORBEAロードバイク乗り。旅好き。自然が好き。なによりも人が大好き。
前田久	maeQ	ライター。アニメ中心、ときどきマンガ、ライトノベル系のお仕事も。アニメポータル「AniFav（http://t.co/rPmlpVOV）」の編集キャップやってます。お仕事の相談は　mae9biz@gmail.com　までお願いします。AniFavのアカウント @ani_fav もよろしくです〜。
セロ	CyrilOnline	セロ / Cyril -  Magic is Everywhere!
堀義人	yoshitohori	President-GLOBIS Univ., Managing Director-GLOBIS Capital, Leader-G1Summit & KIBOW. そして、5人の息子の父親で、且つ「人生を楽しむことの天才」と称する遊び人。著書：｢吾人の任務｣と｢創造と変革の志士達へ｣等。ブログ：「起業家の風景」。
神谷明	kamiyaakira29	声優の神谷明です。よろしくお願いします。
崎本大海	sakimotohiromi	崎本大海オフィシャルtwitterマネージャーのつぶやきになります。どうぞ宜しくお願いします。
IMALU	imalu0919	I'm your ch ch ch ch ch ch ch cherry bomb. http://t.co/WUChvhj2T7
神保哲生	tjimbo	ビデオジャーナリストの神保哲生です。ネット放送局『ビデオニュース・ドットコム』を主宰してます。よろしくお願いします。
上田朱音	akane_u	いつでも、はんなりマイペース☆彡声優の上田朱音です❀お知らせやあかね色な日常をゆるーりつぶやきます。気軽にあかちぃって呼んでくれると嬉しいな(´｀*)♪
菱田盛之	Nurikabesan	関西を拠点に声でお仕事をしていますw。映画・演劇・マンガ・阪神タイガース・星空・そしてわんこのごん太くんが生活の潤いです（＾＾）。コミックリーディングライブ「マンガタリLIVE」主宰。
梶裕貴	yuki_kaji	よろしくお願いしまーす。
山口清裕	Kiyohiro_Y	山口清裕まわりの仲間とのやり取りを楽しんでもらう為のバラエティチャンネルです(笑) 舞台役者と思われがちですが声優です(´Д` ) 絡むのは基本友人のみですが、時々気まぐれ お返事ロード。フォロー返しが苦手です(′ʘ⌄ʘ‵)全ては朕の気分次第じゃよ。
森川嘉一郎	kai_morikawa	明治大学准教授（意匠論・現代日本文化）。
岡崎太郎	TaroOkazaki	通販マーケッター 博多在住 モチベーションシートの開発者 であり実践者 05月18日に14冊目の新刊がでます。一日３分夢実現ノートや通販のバイブル 売れるしくみはこうつくれ！の著者。最新刊は『金がないなら知恵をしぼれ・ビジネス着想100本ノック』 岡崎太郎でした。
おおはた雄一	ohata_info	おおはた雄一のスタッフです。LIVE情報を中心につぶやいていきますのでどうぞよろしくお願いします
加藤勝信	katsunobukato	岡山県第五選挙区選出の衆議院議員です。安倍内閣の発足に伴い内閣官房副長官に就任、岡山県連では会長を務めています。
平川哲生	bokuen	アニメをつくっています。だいたい演出家、しばしばアニメーター、ときどき脚本家。きまぐれリプライ、ご容赦ください。メール bokuen@gmail.com
大川麻里江	marie_okawa	音楽座ミュージカル／Ｒカンパニーで俳優をしています、大川麻里江です！日常の何気ないことから、公演情報までつぶやいていきたいと思います♪
土屋敏男	TSUTIYA_ON_LINE	昔、電波少年を作っていて『Tプロデューサー、とかT部長」と呼ばれたりします。現在LIFE VIDEO代表取締役ディレクター。日本テレビ編成局専門局長。LIFE VIDEO「自分のそして大切な人の人生をビデオにする」に加えて色んな事をこの会社で挑戦します。
azumi	azumiwyolica	Singer / Lyricist / DJ / Tuno by Azumi デザイナー / ex. wyolica
DJ MAYUMI	DJMAYUMI	OFFICIAL H.P :  djmayumi.jpUNIVERSAL MUSIC : berryjam.jpbookings : berryjam.info@aol.jp
植田朝日	ASAHIMAN2010	コラソンTV『植田朝日のワールドカップの歩き方』https://t.co/44aJ8AJmui
m.c.A・T	mcAT1993	こんにちは。がんばりやです。でも時に怠け者にもなります。たぶんそのバランスがいいんだと思います。年齢とともに子供っぽくなりますがよろしくです。Singer,Rapper,Producer,Songwriter,Gamer
真野恵里菜	erina_mano	【真野恵里菜公式Twitter】真野恵里菜です。歌って踊ってピアノ弾いて,演技してます!Hi:)I'm Erina Mano.Please call me Erina or Manochan.I'm a singer,and an actress!Please follow me:)
マツコデラックスbot	matsukodx_bot	マツコデラックスの発言を集めたbot。bot です。ご本人ではありませんよ。
真矢みきさんぼっと	mayamiki_bot	「あなたのつぶやき、あきらめないで！」真矢みきさんが応援してくれるボット(ご本人とは関係ありません)です。励ましメッセージをラブストーリーは突然にくらい突然にお届けします。@tarot3を参考にしてタロット機能追加しました。
ケンコバト	kenkobato	人面鳩。修行(自分探し)の旅に出ました。今までありがとうございました。
アムロ・レイ	amuro_ray_bot	逆襲のシャアからのセリフをつぶやきます。Basic認証の終わりと共に調整中・・・
スナフキン	snufkin_bot	また春に会いましょう - 孤独を愛する旅人スナフキンのbotです。1時間毎にbuzztterから単語を拾い、簡単なreplyをします。文章は自動生成で二次創作を含みます。ご理解ある方のみのご利用でお願いします。【門番(中の人)】@lovinkiller
フリーザ	freezer_dragon	せっかくですから、特別につぶやいてさしあげましょう。好きにフォローなさい。オーッホッホッホッホ！！
ファービー	bot_furby	ﾎﾞｸ　ﾌｧｰﾋﾞｰ　ﾎﾞｸ　ｵﾊﾅｼｽﾙﾖ　ﾖｸｷｲﾃﾈ　心をもったかわいいともだちファービー好評発売中！http://t.co/GDTVuroyzj
スラムダンク名言ボット	slamdunk_meigen	SLAM DUNK（スラムダンク）の名言をつぶやきます。。頭に @slamdunk_meigenで送ると励ましの言葉が返ってくるよ！たぶん・・・。やっと全巻収録しました。あれっ目から汗が・・・。ちなみに、私は山王戦、三井＆赤木のコブシでの【ガッ】が一番好きです。
ブローノ・ブチャラティ	B_Buccellati	「2時間おきにつぶやく」「呼びかけには応える」両方やらなくちゃならないのが幹部のツラいところだな。覚悟はいいか、俺はできてる。
フグ田サザエ	sazae3_bot	サザエでございま～す！1時間に2回くらい、TLの人を巻き込んで次週の予告をします。URL先のフォームで追加された単語が予告に反映されることもあります。また、1時間に1回TLのつぶやきを拾ってランダムなつぶやきもポストします。リムーブの際は「ブロック」してください。
リラックマ	rilakkuma_bot	リラックマの非公式BOT(fake)です。サンエックスさま、主婦と生活さまとは関係ありません。本の内容をつぶやきます。中の人は居ません。作者は@sai521です。＊フォローする前にリンクの仕様書を一度御覧下さい。＊飽きたらブロックでフォロー解除してください。【ツイッター規制により相互フォローのお返しが遅くなっています】
ディオ・ブランドー	Dio_bot	「2時間」に一度程度…昼夜を問わず「つぶやく」かも知れない。あくまで可能性の話であるがね。呼びかけには早めに応えてやろう…
森田一義bot	MoritaKazuyoshi	「日本坂道学会」副会長・「日本変態協会（略してNHK）」会長・「鉄道の事情通」・「おっぱい星人」こと森田一義botです。postはだいたい1日2、3回ぐらい。明日もまた、見てくれるかなー？高田純次もどうぞよろしく→http://t.co/SphPxbs1Yg
有吉bot	ariyoshi_bot	有吉がこれまで芸能人につけてきたあだ名をあなたにも。@ariyoshi_botへ返信で、あなたに爆笑と不快感のどちらかを。※たまに寝てるときがありますので、何回か@で呼んであげてください。という比喩です。※あだ名に対しての感想とか反応はRTでよろしく！【中の人ブログ】 http://t.co/fF7fPTjvnq
鳥肌実bot	torihadaminoru	鳥肌実botです。　鳥肌実：お笑い芸人、演説家。 42歳（厄年）、獅子座、O型 公然猥褻・銃刀法違反の前科2犯 出身地は樺太。
松岡修造bot	shuzo_matsuoka	大丈夫！僕についてこい！！
高田純次bot	TakadaJunji	「平成の無責任男」「芸能界一いい加減な男」「元祖テキトー男」こと高田純次botです。postはだいたい1日2、3回ぐらい。タモさんもよろしくーhttp://t.co/dLWNMJ1mR6
おだ辰夫	ODA_SAN	幻のウクレレ4コマ漫画『ウクレリアンの極み』の作者、マンガ家ODA-SANです。iPhoneと、iPad mini と、Macからつぶやいてます。iPhoneアプリ『まんがでOK!英語』『OK! Japanese』もよろしく。博物館ボランティアや、インドネシア語科の学生でもある。好物は広島風お好み焼き（ウドン入り）。
八神健	yagamike	漫画描いてます。
甲斐谷忍	mangakap	漫画家。「ライアーゲーム」「ウイナーズサークルへようこそ」「小田霧響子の嘘」「ワンナウツ」「ソムリエ」などの作者。ライアーゲームは3/27（木）連載再開しました。よろしくお願いします。
かじさやか	tadekichi	札幌の山奥に住む漫画家です。切り絵作家でもあります。昔は鍛治明香という名前で切り絵まんがを描いていました。 札幌市豊平川さけ科学館の応援キャラクター「リンカちゃん」をデザインしました。日常を淡々とつぶやいていることが多いです。「釣り新聞ほっかいどう」で「太公さんちの休日」連載中
加藤和恵	katohhhhhh	ジャンプSQ.で「青の祓魔師」連載中。 フォロー、リプライ、リツイートは、知り合いや仕事関係中心に気まぐれにやってます。 単行本13巻発売中！舞台のソフト化もろもろは、まだ未定です。
樹崎聖	saintkisaki	漫画家/樹崎聖(きさきたかし)です。漫画元気発動計画代表・世界戦略web漫画「Domix」編集長&監督。MANGA姉っくす！MC。代表作は『10年メシが食える漫画家入門』『Vivo UNDEAD（Domixで公開中）』『ZOMBIEMEN』『交通事故鑑定人環倫一郎（絶版マンガ図書館で156万ビュー！）』
北村咲都子	totomura_totoko	主に小学館『Sho-Comi』で活動中の４コマ漫画家です。ゲーム大好き！マリオカート８のフレンド募集中です。MiiverseのIDは「totosims」です。Miiネームは「ぬほほ.jp」です。「きゃほほ.com」は姉です。
黒丸	kuromaru_	週刊スピリッツで『クロサギ』シリーズを描いておりました。通算４２巻。「月刊！スピリッツ」で新連載『UNDERGROUN' DOGS』スタート！よよろしくお願いいたします♪
奥瀬サキ	oarfish_sea	
奥英樹	h__oku	サンデーＳにて「木倉さんと三人三脚」という漫画を連載中。ラグビー漫画「アップセット15」1～5巻発売中です。思った事、好きな事を適当に呟きます。お気軽にお願いします。　　pixiv=http://t.co/AjmAkr92Gt
水清十朗	mizu_seijuro	肩書：漫画家。オブ・ザ・デッド系世界で使いたい武器はクロスボウもしくはスコップ。
篠房六郎	sino6	漫画家す
小坂俊史	kosaka_s	４コマ漫画家（１７年目）。山口ー広島ー東京ー岩手ー東京。右利き。よそじ。
きづきあきら	kidukira	漫画家。サトウナンキ http://t.co/1v3DxDis3Mと二人組です。幻冬舎月刊コミックバーズ『きょうから四姉妹』、双葉社月刊アクション『さよならハルメギド』、季刊エレガンスイブ増刊もっと！『暁の明星』連載中。他、色々なところで読切などやってます。
咲香里	sakikaori	ヤンマガで「8♀1♂ハチイチ」連載中。最近無口です。
サンボマスター	sambomaster_txt	サンボマスターに関わる情報をつぶやきます！！フォローよろしくお願いします!!!
木内泰史	kiuchiSBM	サンボマスター　ドラムスと父。 7thALBUM「終わらないミラクルの予感アルバム」2013.10.9release!!!!!!!
DJ U-ICHI	hmku0223	2014年7月23日（水）発売！『FAMILY TREASURE ～THE BEST MIX OF HOME MADE 家族～Mixed by DJ U-ICHI』ベストアルバム「家宝~THE BEST OF HOME MADE 家族」ON SALEhttp://t.co/daUwTT3yqb
SHOGO	shogo_175R	ソロ名義の1stフルアルバム「大きな愛の木の下で」絶賛発売中！次回LIVEは10/11 AGEOまちフェス→高田馬場天窓 comfortunplugood Vol.6は11/22@下北沢440！
市川喜康	YSYS_Ichikawa	Yoshiyasu Ichikawa作詞家 / 作曲家 / サウンド・プロデューサー /
DJ MaRia	DJ_MaRia	http://t.co/2W7CsX6Kd4
夏樹陽子	yokonatsuki	JEWEL ACTRESS女優の夏樹陽子です！私の想いをつぶやきます。私ならではの美容健康法、自身の心を豊かにする子供への読み聞かせ、スポーツカー、能、等々。お楽しみに！
小谷美紗子	odanimisako	新しいアルバム『us』リリースします。フォトブック特別盤　2013.12.14 特別盤先行発売 !! 通常盤 2014.01.22 一般発売 !!詳しくはHPにて。ひきつづき、「３月のこと」という曲も公開中です。良かったら受け取って下さい。ネットの外にも届きますように。
雫パイン	shizukupine	現役AV女優･雫パインのtwitter★☆大阪出身★☆趣味は食べ歩き～(*´∀｀*)ﾉ
平井俊祐	bobuhirai	PUUUUUUUN!ヤーマン！どりあんずのH,I,R,A,Iひーらーい！どりあんずの最も明るい方を担当しています！豊満乃風の、GOHAN-KUNとしても活動しています！DJ BOBUとしてpartyを盛り上げてもいます。そう！人生楽しむしかないでSHOOO!YEAH!
小堀裕之	y_2chokenju_k	初笑いは、初ツイッターから！元旦は、よしもと＋テレビ＋twitterで楽しもう！どの芸人が、いつ何をつぶやくかは、お楽しみに！元旦限定つぶやきは、パソコンからアクセスしてください。http://t.co/HdiSS2z6O2
アダム・ランバート	adamlambert	Singer  Songwriter  Actor  Host
ジェイミー・ケネディ	JamieKennedy	I'm a Kennedy but I'm not cursed.
ダニー・マスターソン	dannymasterson	i been workin on the railroad,all the live long day... i been workin on the railroad jus to pass the time awaaaay...
大西ライオン	onishilion2010	吉本東京NSC 5期生  大西ライオンです。色々叫びます。心配ないさ～、言っちゃいます！
井上裕介	inoueyusuke	どうも、みんなのアイドル、ＮＯＮＳＴＹＬＥ井上裕介でございます。 基本的に友達や仲間、知り合いしかフォローはしません。 まぁ、めんどくさがりの僕ですが、みんなにたくさんのラブをお届け出来るよう頑張りますので、みんな仲良くしてね。
三上真司	shinji_mikami	Game Designerの三上真司です。Tango Gameworksでは自由闊達な開発環境を目指しています、。#shinji_mikami
麻木久仁子	kunikoasagi	益者三友。
川田まみ	mamikawada	北海道出身　2月13日生まれ　水瓶座　O型学生時代から歌手を志し、2001年、島みやえい子の推薦でI'veのオーディションに参加、合格。「まみブラート」と呼ばれる独特の繊細なビブラートや、透き通るように伸びやかで且つ力強い歌声で幅広い楽曲を歌いこなす、実力派ボーカリストとして注目を集めている。
広澤草	soooooou	穏やかそうに見られがちですが「なめんじゃねぇ」の根性で役者をやっていたり。 映画大好き。韓国大好き。안녕하세요.저는 일본 배우 히로사와소우입니다. 한국 영화를 아주 좋아해서 한국에서 유학생활도 했고, 앞으로 한국에서도 활동할 예정입니다☆
藤田真由美	mayumix_fujita	藤田真由美*Singer♪Chorus♪様々なアーティストのバッキングヴォーカルを務める。**LIVEサポート** miwa・西野カナ・井上陽水・Superfly・AquaTimez・SOFFet・大塚愛・後藤真希・hitomi...etc
菊池一仁	kazuhitokikuchi	作曲家です。http://t.co/JUV8Rrkl
辻香織	neokaori	東京 生まれ　singer2013年12月4日New Album「インスタント・パリジェンヌ」を発売！全国各地ツアー中。http://t.co/YDewP87Fzh
